GroupName,ReferenceDate,FlowBreakdown,UnitMeasure,ObservedValue,GeneralizedSource,RunDate
Africa,2018-07-01,CLOSTLV,KBBL,163093.0,OilX,2025-02-19
Africa,2018-08-01,CLOSTLV,KBBL,164780.0,OilX,2025-02-19
Africa,2018-09-01,CLOSTLV,KBBL,146235.0,OilX,2025-02-19
Africa,2018-10-01,CLOSTLV,KBBL,166189.0,OilX,2025-02-19
Africa,2018-11-01,CLOSTLV,KBBL,163043.0,OilX,2025-02-19
Africa,2018-12-01,CLOSTLV,KBBL,155811.0,OilX,2025-02-19
Africa,2019-01-01,CLOSTLV,KBBL,171354.0,OilX,2025-02-19
Africa,2019-02-01,CLOSTLV,KBBL,159373.0,OilX,2025-02-19
Africa,2019-03-01,CLOSTLV,KBBL,173745.0,OilX,2025-02-19
Africa,2019-04-01,CLOSTLV,KBBL,176243.0,OilX,2025-02-19
Africa,2019-05-01,CLOSTLV,KBBL,172435.0,OilX,2025-02-19
Africa,2019-06-01,CLOSTLV,KBBL,179425.0,OilX,2025-02-19
Africa,2019-07-01,CLOSTLV,KBBL,173248.0,OilX,2025-02-19
Africa,2019-08-01,CLOSTLV,KBBL,168798.0,OilX,2025-02-19
Africa,2019-09-01,CLOSTLV,KBBL,173687.0,OilX,2025-02-19
Africa,2019-10-01,CLOSTLV,KBBL,181631.0,OilX,2025-02-19
Africa,2019-11-01,CLOSTLV,KBBL,167987.0,OilX,2025-02-19
Africa,2019-12-01,CLOSTLV,KBBL,185996.0,OilX,2025-02-19
Africa,2020-01-01,CLOSTLV,KBBL,197813.0,OilX,2025-02-19
Africa,2020-02-01,CLOSTLV,KBBL,197410.0,OilX,2025-02-19
Africa,2020-03-01,CLOSTLV,KBBL,204325.0,OilX,2025-02-19
Africa,2020-04-01,CLOSTLV,KBBL,213076.0,OilX,2025-02-19
Africa,2020-05-01,CLOSTLV,KBBL,212345.0,OilX,2025-02-19
Africa,2020-06-01,CLOSTLV,KBBL,204142.0,OilX,2025-02-19
Africa,2020-07-01,CLOSTLV,KBBL,211111.0,OilX,2025-02-19
Africa,2020-08-01,CLOSTLV,KBBL,209262.0,OilX,2025-02-19
Africa,2020-09-01,CLOSTLV,KBBL,213948.0,OilX,2025-02-19
Africa,2020-10-01,CLOSTLV,KBBL,203359.0,OilX,2025-02-19
Africa,2020-11-01,CLOSTLV,KBBL,208517.0,OilX,2025-02-19
Africa,2020-12-01,CLOSTLV,KBBL,203798.0,OilX,2025-02-19
Africa,2021-01-01,CLOSTLV,KBBL,200025.0,OilX,2025-02-19
Africa,2021-02-01,CLOSTLV,KBBL,190354.0,OilX,2025-02-19
Africa,2021-03-01,CLOSTLV,KBBL,186520.0,OilX,2025-02-19
Africa,2021-04-01,CLOSTLV,KBBL,172216.0,OilX,2025-02-19
Africa,2021-05-01,CLOSTLV,KBBL,176792.0,OilX,2025-02-19
Africa,2021-06-01,CLOSTLV,KBBL,171679.0,OilX,2025-02-19
Africa,2021-07-01,CLOSTLV,KBBL,170854.0,OilX,2025-02-19
Africa,2021-08-01,CLOSTLV,KBBL,174986.0,OilX,2025-02-19
